Transaction ID,Class of Business,Sub-Class of Business,Transaction Type,Amount,Currency,Customer Name,Date,Age,Income,Number of Claims,Account Balance,Default,customer_id,income_balance_ratio,Amount_converted,inactive_days
44,Miscellaneous,Sub-Class H,Direct,4000.0,USD,Danielle Stevens,2024-07-03,29,83165,0,12619.67467100663,1,Danielle Stevens44,6.590106493875741,520000.0,72
45,Miscellaneous,Sub-Class A,Direct,2500.0,USD,Latasha Walker,2024-11-11,59,31480,4,3025.336098215841,0,Latasha Walker45,10.405455452888354,325000.0,-59
46,Miscellaneous,Sub-Class D,Outward Reinsurance,-1500.0,USD,Maria Harrell,2023-07-22,30,85439,8,9391.534906792807,1,Maria Harrell46,9.097447951580607,-195000.0,419
47,Miscellaneous,Sub-Class F,Direct,3000.0,USD,Julia Johnston,2023-11-21,43,63874,4,9853.389599344884,0,Julia Johnston47,6.482439302333762,390000.0,297
48,Fire Domestic,Sub-Class I,Direct,2200.0,USD,Gerald Hester,2023-09-01,35,124533,5,2876.790667830799,0,Gerald Hester48,43.288864008274274,286000.0,378
49,Engineering,Sub-Class B,Outward Reinsurance,5000.0,USD,Shelley Nguyen,2023-11-23,59,86775,2,3746.309192591592,0,Shelley Nguyen49,23.162797179581293,650000.0,295
50,Engineering,Sub-Class A,Direct,4000.0,,Francisco Perry,2023-02-16,68,26566,7,14056.16912541787,0,Francisco Perry50,1.8899886422083891,4000.0,575
51,Fire Domestic,Sub-Class B,Inward Reinsurance,5000.0,KES,Carolyn Peters,2024-08-13,69,105311,9,9568.096015431229,0,Carolyn Peters51,11.006473997559867,5000.0,31
52,Engineering,Sub-Class G,Outward Reinsurance,1700.0,USD,Alison Barron,2024-09-13,66,122517,3,-1269.721300920785,0,Alison Barron52,-96.49125356182675,221000.0,0
53,Fire Domestic,Sub-Class C,Outward Reinsurance,3000.0,KES,Amber Nelson,2023-01-13,37,73149,3,15940.92471707181,0,Amber Nelson53,4.588755125457787,3000.0,609
54,Miscellaneous,Sub-Class B,Inward Reinsurance,2200.0,,Nathaniel Rangel,2024-01-15,33,23006,4,17077.85717685799,1,Nathaniel Rangel54,1.3471245110993884,2200.0,242
55,Fire Domestic,Sub-Class G,Direct,-1500.0,USD,William Ross,2023-12-31,54,92561,9,6653.528698945354,1,William Ross55,13.911565454684485,-195000.0,257
56,Miscellaneous,Sub-Class B,Outward Reinsurance,1500.0,KES,Andrew Williams,2024-08-24,20,39423,8,222.6858005731738,1,Andrew Williams56,177.0341885227017,1500.0,20
57,Miscellaneous,Sub-Class C,Outward Reinsurance,2200.0,USD,Deborah Buckley,2023-12-08,44,124862,7,18690.16238512263,0,Deborah Buckley57,6.680626814638602,286000.0,280
58,Aviation,Sub-Class G,Inward Reinsurance,2200.0,USD,Jason Hays,2023-08-09,32,110710,6,17056.73911298941,0,Jason Hays58,6.490689648626318,286000.0,401
59,Fire Domestic,Sub-Class D,Inward Reinsurance,1500.0,USD,Karen Barber,2023-03-14,51,112199,4,1109.543658545963,0,Karen Barber59,101.12175319629584,195000.0,549
60,Aviation,Sub-Class A,Direct,2113.6363636363635,USD,Theresa Richardson,2024-09-16,62,53952,8,-2610.156592432565,1,Theresa Richardson60,-20.67002422629319,274772.72727272724,-3
61,Fire Domestic,Sub-Class E,Outward Reinsurance,-1500.0,USD,Michael Stephens,2023-02-15,39,47326,8,6016.340188727669,0,Michael Stephens61,7.866244014703642,-195000.0,576
62,Fire Domestic,Sub-Class I,Direct,2500.0,USD,Kimberly Ortiz,2024-05-18,57,137272,9,11909.92466234349,0,Kimberly Ortiz62,11.52584956595261,325000.0,118
63,Aviation,Sub-Class H,Direct,5000.0,USD,Beth Gates,2023-10-01,40,51139,9,-615.2853695013991,1,Beth Gates63,-83.11427921882955,650000.0,348
64,Aviation,Sub-Class I,Inward Reinsurance,4000.0,,Jeffrey Gregory,2024-07-08,66,82103,1,7830.3164607937,0,Jeffrey Gregory64,10.485272263399409,4000.0,67
65,Fire Domestic,Sub-Class I,Outward Reinsurance,2200.0,,Shawn Lynch,2023-07-27,21,132734,3,5635.387356812917,0,Shawn Lynch65,23.55366039559479,2200.0,414
66,Engineering,Sub-Class G,Outward Reinsurance,1700.0,USD,Sarah Sullivan,2024-09-06,68,80857,7,17263.77871923664,0,Sarah Sullivan66,4.683621199911631,221000.0,7
67,Miscellaneous,Sub-Class D,Outward Reinsurance,1500.0,USD,Keith Wells,2023-05-04,71,93638,0,5739.165820178216,0,Keith Wells67,16.315611525072175,195000.0,498
68,Aviation,Sub-Class E,Inward Reinsurance,5000.0,,Antonio Carter,2023-01-10,74,132173,4,8344.40984337594,0,Antonio Carter68,15.839706160277249,5000.0,612
69,Miscellaneous,Sub-Class A,Inward Reinsurance,3000.0,,Rodney Martinez,2023-11-25,58,92652,7,18882.15490004556,0,Rodney Martinez69,4.906855202198158,3000.0,293
70,Engineering,Sub-Class A,Inward Reinsurance,1500.0,,Thomas Hale,2023-07-06,40,32937,1,2492.294146864115,0,Thomas Hale70,13.215534788075635,1500.0,435
71,Engineering,Sub-Class C,Inward Reinsurance,3000.0,USD,Lisa Martinez,2024-06-26,64,146934,1,2224.773298548535,0,Lisa Martinez71,66.04448196850495,390000.0,79
72,Engineering,Sub-Class H,Inward Reinsurance,-1500.0,KES,Cynthia Cooke,2024-10-29,26,50161,7,14989.87699855107,0,Cynthia Cooke72,3.3463249901816132,-1500.0,-46
73,Aviation,Sub-Class B,Outward Reinsurance,2200.0,KES,Jill Perez,2023-03-01,41,24383,9,1938.474653599216,0,Jill Perez73,12.578446643461369,2200.0,562
74,Engineering,Sub-Class D,Direct,1700.0,KES,Jorge Wu,2024-03-17,38,105856,8,15796.64675183013,0,Jorge Wu74,6.7011690305561835,1700.0,180
75,Aviation,Sub-Class B,Outward Reinsurance,4000.0,KES,Brandon Lawson,2023-08-05,58,136387,6,-2611.609765958876,0,Brandon Lawson75,-52.22334583739937,4000.0,405
76,Engineering,Sub-Class E,Direct,3000.0,USD,Shawn Stephens,2023-01-02,63,90043,7,-2218.46881726329,0,Shawn Stephens76,-40.58790427853628,390000.0,620
77,Miscellaneous,Sub-Class I,Inward Reinsurance,5000.0,KES,Stacey Leonard,2024-06-19,72,34735,4,17533.08435406929,0,Stacey Leonard77,1.9811117826475453,5000.0,86
78,Miscellaneous,Sub-Class A,Direct,2187.7862595419847,,Jasmine Adams,2024-12-18,70,79919,0,8520.307062060881,0,Jasmine Adams78,9.379826268921967,2187.7862595419847,-96
79,Fire Domestic,Sub-Class E,Outward Reinsurance,-1500.0,,Charlotte Valdez,2024-12-11,33,115249,3,12970.35666735597,0,Charlotte Valdez79,8.885569067661862,-1500.0,-89
80,Miscellaneous,Sub-Class I,Outward Reinsurance,2424.626865671642,KES,Daniel Hall,2023-12-22,73,102055,1,632.2222965636074,0,Daniel Hall80,161.42265237197677,2424.626865671642,266
81,Fire Domestic,Sub-Class A,Direct,-1500.0,,Randall Munoz,2024-09-17,72,87561,2,-843.1407904472926,0,Randall Munoz81,-103.85098312412121,-1500.0,-4
82,Miscellaneous,Sub-Class I,Inward Reinsurance,2500.0,USD,Carrie Mcknight,2024-10-28,42,105455,2,15873.856555816,0,Carrie Mcknight82,6.643313150096628,325000.0,-45
83,Aviation,Sub-Class H,Inward Reinsurance,5000.0,KES,Tiffany Bush,2023-06-14,43,57622,8,3965.58517558122,0,Tiffany Bush83,14.53051629172347,5000.0,457
84,Miscellaneous,Sub-Class D,Outward Reinsurance,2066.6666666666665,KES,Jennifer Alexander,2023-04-01,66,58135,9,6375.815478049861,1,Jennifer Alexander84,9.118049322497248,2066.6666666666665,531
85,Fire Domestic,Sub-Class E,Direct,1700.0,USD,Heather Armstrong MD,2023-06-16,62,55658,3,-4300.702568116026,0,Heather Armstrong MD85,-12.941606427896188,221000.0,455
86,Fire Domestic,Sub-Class E,Inward Reinsurance,2200.0,,Keith Grimes,2023-07-26,26,104677,1,4647.01835482416,0,Keith Grimes86,22.52562654316456,2200.0,415
87,Engineering,Sub-Class F,Inward Reinsurance,1500.0,USD,Jordan Miller,2023-10-09,32,49696,2,14260.94520312446,0,Jordan Miller87,3.4847620050536343,195000.0,340
88,Aviation,Sub-Class G,Outward Reinsurance,4000.0,USD,Peggy West,2023-03-06,56,23773,2,15531.87943215423,1,Peggy West88,1.5305939055118425,520000.0,557
89,Miscellaneous,Sub-Class H,Inward Reinsurance,2200.0,,Maria Garcia,2024-05-30,50,44956,6,12468.86972206354,0,Maria Garcia89,3.6054591155484452,2200.0,106
90,Engineering,Sub-Class H,Direct,2200.0,USD,Brian Hall,2023-06-06,18,141340,7,12304.49333859355,0,Brian Hall90,11.486860621613836,286000.0,465
91,Miscellaneous,Sub-Class B,Outward Reinsurance,-1500.0,,Michelle Ryan,2023-11-02,22,35819,5,7655.981664928948,0,Michelle Ryan91,4.678563973589718,-1500.0,316
92,Miscellaneous,Sub-Class I,Outward Reinsurance,1700.0,,Eric Mejia,2024-01-30,73,21528,3,8458.233231495575,0,Eric Mejia92,2.5452123878349764,1700.0,227
93,Engineering,Sub-Class G,Direct,-1500.0,USD,Sean Hill,2023-03-15,26,147781,5,13565.79367032859,1,Sean Hill93,10.89364939430193,-195000.0,548
94,Engineering,Sub-Class D,Outward Reinsurance,3000.0,,Paul Smith,2023-07-06,61,106491,0,1182.544970693071,0,Paul Smith94,90.05238924451837,3000.0,435
95,Engineering,Sub-Class D,Inward Reinsurance,4000.0,USD,Cynthia Harris,2024-07-27,23,64588,9,787.9267061514001,0,Cynthia Harris95,81.972091434085,520000.0,48
96,Engineering,Sub-Class H,Inward Reinsurance,3000.0,,Cheryl Farmer,2023-12-03,45,90585,7,18748.12059785136,1,Cheryl Farmer96,4.831684302819214,3000.0,285
97,Engineering,Sub-Class D,Direct,1500.0,KES,Johnny Wells,2024-11-06,62,119152,0,-4307.752831030615,0,Johnny Wells97,-27.659897091053224,1500.0,-54
98,Miscellaneous,Sub-Class F,Inward Reinsurance,5000.0,,Jane Gomez,2024-07-21,43,147872,4,-1513.363408370461,0,Jane Gomez98,-97.7108334866003,5000.0,54
99,Engineering,Sub-Class E,Direct,1500.0,,George Cook,2024-09-14,45,40511,1,9258.3106550312,0,George Cook99,4.375636280684241,1500.0,-1
100,Aviation,Sub-Class C,Direct,1500.0,USD,Donna Key,2024-12-30,57,30119,5,13445.87096745871,0,Donna Key100,2.24001852114252,195000.0,-108
101,Fire Domestic,Sub-Class B,Inward Reinsurance,2418.348623853211,,Brittany Jackson,2023-08-28,32,95893,8,8447.277074625294,0,Brittany Jackson101,11.351942069954376,2418.348623853211,382
102,Engineering,Sub-Class I,Direct,2286.6666666666665,KES,Mary Smith,2024-06-16,23,36167,4,3876.599904122104,1,Mary Smith102,9.329567377211808,2286.6666666666665,89
103,Engineering,Sub-Class I,Inward Reinsurance,2076.086956521739,KES,Michael Hughes,2023-05-21,44,76503,3,19449.40298382419,0,Michael Hughes103,3.9334369319010216,2076.086956521739,481
104,Miscellaneous,Sub-Class A,Outward Reinsurance,2424.626865671642,,Maria Baker,2023-09-22,55,130782,1,12596.31712832114,0,Maria Baker104,10.382558542127692,2424.626865671642,357
105,Engineering,Sub-Class C,Outward Reinsurance,2150.675675675676,,Caitlyn Roman,2023-05-19,21,140554,2,15784.77102667698,0,Caitlyn Roman105,8.904405376705013,2150.675675675676,483
106,Engineering,Sub-Class H,Direct,2157.48031496063,KES,Connor Smith,2024-04-03,28,107789,5,-3993.828145294899,0,Connor Smith106,-26.988892881378852,2157.48031496063,163
107,Engineering,Sub-Class F,Inward Reinsurance,2076.086956521739,USD,Nicole Garner,2023-03-11,38,54889,7,898.0027618345921,0,Nicole Garner107,61.12342003031645,269891.30434782605,552
108,Miscellaneous,Sub-Class E,Inward Reinsurance,2650.769230769231,KES,James Brown,2024-01-20,47,65678,7,4354.277339789502,0,James Brown108,15.083559193584822,2650.769230769231,237
109,Engineering,Sub-Class E,Outward Reinsurance,2150.675675675676,KES,Sharon Dawson,2024-09-21,35,115334,4,-434.9650479430493,0,Sharon Dawson109,-265.1569374261559,2150.675675675676,-8
110,Fire Domestic,Sub-Class F,Outward Reinsurance,2289.285714285714,,Cynthia Parker,2023-07-17,52,80262,4,-3177.51818227132,1,Cynthia Parker110,-25.25933618501845,2289.285714285714,424
111,Miscellaneous,Sub-Class G,Inward Reinsurance,2650.769230769231,,Angela Archer,2023-07-24,20,24681,9,627.2916148670056,0,Angela Archer111,39.34533702516127,2650.769230769231,417
112,Fire Domestic,Sub-Class A,Direct,2231.060606060606,KES,Christy Gilmore,2024-12-26,29,100291,2,8340.890780926065,0,Christy Gilmore112,12.024015495964207,2231.060606060606,-104
113,Miscellaneous,Sub-Class I,Outward Reinsurance,2200.0,USD,Cheyenne Barrett,2024-07-21,44,86008,6,12393.63120891763,0,Cheyenne Barrett113,6.939693343312845,286000.0,54
114,Engineering,Sub-Class C,Direct,4000.0,KES,Robert Fitzgerald,2024-11-17,70,136475,5,14350.52307412702,0,Robert Fitzgerald114,9.510106307278429,4000.0,-65
115,Fire Domestic,Sub-Class D,Direct,3000.0,KES,Tiffany Barnes,2024-10-01,47,118417,0,-3926.596128307073,0,Tiffany Barnes115,-30.15767248032579,3000.0,-18
116,Miscellaneous,Sub-Class A,Outward Reinsurance,-1500.0,USD,Anthony Mccann,2024-03-06,38,33690,3,5699.65430531478,0,Anthony Mccann116,5.91088480025621,-195000.0,191
117,Aviation,Sub-Class C,Direct,3000.0,KES,Elizabeth Chang,2023-11-21,55,45912,5,-1944.710410365817,0,Elizabeth Chang117,-23.60865646385034,3000.0,297
118,Engineering,Sub-Class B,Direct,-1500.0,KES,Sharon Lee,2024-03-17,38,26473,5,5780.009661116796,0,Sharon Lee118,4.580096150719057,-1500.0,180
119,Miscellaneous,Sub-Class B,Inward Reinsurance,2650.769230769231,,Donna Gay,2023-10-15,55,61298,2,5849.396228007377,0,Donna Gay119,10.479372162634542,2650.769230769231,334
120,Aviation,Sub-Class A,Direct,-1500.0,USD,Matthew Manning,2023-08-14,57,38669,5,7455.292167806092,1,Matthew Manning120,5.186785323717142,-195000.0,396
121,Miscellaneous,Sub-Class H,Inward Reinsurance,4000.0,,Gavin Baker,2023-03-05,32,119500,9,17320.76565658098,0,Gavin Baker121,6.899233115286464,4000.0,558
122,Aviation,Sub-Class C,Outward Reinsurance,5000.0,,Zachary Shaw,2024-07-13,35,101998,5,15127.38756560224,0,Zachary Shaw122,6.742605063674743,5000.0,62
123,Engineering,Sub-Class C,Outward Reinsurance,-1500.0,USD,Brittany Mcdaniel,2024-12-14,69,40943,8,10918.02112840979,0,Brittany Mcdaniel123,3.7500385388943966,-195000.0,-92
124,Fire Domestic,Sub-Class F,Inward Reinsurance,3000.0,USD,Martin Edwards,2024-05-12,46,58785,8,17135.18307333827,0,Martin Edwards124,3.4306607491966252,390000.0,124
125,Aviation,Sub-Class H,Outward Reinsurance,1700.0,KES,Justin Randall,2023-03-01,65,120956,1,11961.71541261558,0,Justin Randall125,10.111927581259136,1700.0,562
126,Miscellaneous,Sub-Class I,Direct,4000.0,,James Garcia,2024-02-01,55,83427,3,15471.37401907688,1,James Garcia126,5.392345883250632,4000.0,225
127,Engineering,Sub-Class I,Direct,1700.0,USD,Tiffany Ayers,2023-09-14,38,82001,8,9094.457524603165,0,Tiffany Ayers127,9.016590574881826,221000.0,365
128,Aviation,Sub-Class D,Direct,3000.0,,Kristen Miller,2024-07-30,34,81724,3,8130.456290772516,0,Kristen Miller128,10.051588382899356,3000.0,45
129,Miscellaneous,Sub-Class E,Outward Reinsurance,2200.0,,Joanna Carey,2023-08-27,58,139006,7,13102.43106930962,0,Joanna Carey129,10.609176210482012,2200.0,383
130,Miscellaneous,Sub-Class B,Direct,2187.7862595419847,USD,Gary Thomas,2023-02-07,68,30832,9,-4507.767200606223,0,Gary Thomas130,-6.839749842417236,284412.213740458,584
131,Miscellaneous,Sub-Class I,Outward Reinsurance,4000.0,KES,Tiffany Harmon,2023-01-25,35,25385,2,12259.43929078559,0,Tiffany Harmon131,2.0706493500954655,4000.0,597
132,Aviation,Sub-Class H,Direct,1700.0,,Elizabeth Ballard,2024-02-14,74,115898,2,18362.95546010911,0,Elizabeth Ballard132,6.311511251648559,1700.0,212
133,Aviation,Sub-Class C,Inward Reinsurance,3000.0,USD,Laura James,2024-04-05,72,34708,8,12848.55199566885,0,Laura James133,2.701316071390753,390000.0,161
134,Aviation,Sub-Class I,Outward Reinsurance,2200.0,KES,Daniel Myers,2024-07-24,54,78600,9,-4080.156892569537,0,Daniel Myers134,-19.263965104660603,2200.0,51
135,Fire Domestic,Sub-Class C,Outward Reinsurance,3000.0,,Ross Munoz,2024-02-21,55,43438,7,4447.141019318098,1,Ross Munoz135,9.76762369605733,3000.0,205
136,Aviation,Sub-Class I,Direct,2200.0,USD,Kari Harrison,2023-12-23,29,102747,0,15239.53255678215,0,Kari Harrison136,6.742135929508798,286000.0,265
137,Aviation,Sub-Class B,Outward Reinsurance,-1500.0,,Calvin Meyer,2024-01-18,28,100107,9,18965.2137511105,0,Calvin Meyer137,5.278453557853429,-1500.0,239
138,Aviation,Sub-Class I,Outward Reinsurance,2500.0,USD,Joseph Walker,2023-06-07,65,80062,1,4254.083890909431,0,Joseph Walker138,18.820033185308077,325000.0,464
139,Fire Domestic,Sub-Class H,Inward Reinsurance,3000.0,USD,Yvette Jacobs,2024-07-22,69,85428,2,16029.8513969227,1,Yvette Jacobs139,5.3293070462524605,390000.0,53
140,Aviation,Sub-Class I,Inward Reinsurance,-1500.0,,Joseph Johnson,2024-03-08,66,106843,1,16595.24688253782,0,Joseph Johnson140,6.438168757370188,-1500.0,189
141,Miscellaneous,Sub-Class E,Direct,4000.0,,Lisa Garrett,2023-02-17,37,31002,2,-1917.84001684875,0,Lisa Garrett141,-16.16506055126545,4000.0,574
142,Aviation,Sub-Class B,Inward Reinsurance,-1500.0,USD,Michael Griffin,2023-11-24,26,56153,7,16144.71166796719,0,Michael Griffin142,3.4781048528363296,-195000.0,294
143,Miscellaneous,Sub-Class H,Direct,1500.0,KES,Renee Jones,2024-03-08,18,42440,5,3106.247390965376,1,Renee Jones143,13.662788135754466,1500.0,189
144,Miscellaneous,Sub-Class F,Direct,1500.0,,William Ochoa,2024-03-06,20,87501,6,9830.943039135433,0,William Ochoa144,8.900570337115404,1500.0,191
145,Miscellaneous,Sub-Class H,Direct,3000.0,USD,Chad Nichols,2023-02-25,38,52556,9,8474.052983910526,0,Chad Nichols145,6.20199095990865,390000.0,566
146,Fire Domestic,Sub-Class E,Outward Reinsurance,1700.0,USD,Taylor Wright,2024-07-30,40,87963,9,11576.34659340302,0,Taylor Wright146,7.59851126521447,221000.0,45
147,Fire Domestic,Sub-Class B,Inward Reinsurance,1700.0,KES,Rhonda Evans,2023-09-25,26,121145,5,13511.61627361826,0,Rhonda Evans147,8.965988786740368,1700.0,354
148,Fire Domestic,Sub-Class F,Direct,4000.0,KES,Wayne Taylor,2023-03-10,71,110725,0,6022.027440464502,1,Wayne Taylor148,18.386664805941063,4000.0,553
149,Aviation,Sub-Class E,Inward Reinsurance,-1500.0,KES,Kenneth Garcia,2024-12-28,36,110674,2,17207.77055372831,0,Kenneth Garcia149,6.431629225554782,-1500.0,-106
150,Miscellaneous,Sub-Class E,Direct,1700.0,,Christopher Nichols,2024-08-23,62,26563,0,15237.46053903903,0,Christopher Nichols150,1.7432694858795172,1700.0,21
151,Fire Domestic,Sub-Class A,Inward Reinsurance,2200.0,USD,Ashley Patterson,2024-03-24,72,99923,9,14635.52731619649,0,Ashley Patterson151,6.8274273855113945,286000.0,173
152,Fire Domestic,Sub-Class B,Inward Reinsurance,2200.0,USD,Paul Hancock,2023-09-14,63,25840,8,6456.171048357295,1,Paul Hancock152,4.00237227397727,286000.0,365
